[(1,'https://carmellalvpr.files.wordpress.com/2013/06/dsc00209.jpg','https://carmellalvpr.wordpress.com/tag/faux-wood-beams','faux wood beams','faux ceiling beams'),
(2,'http://1footinthegrave.com/images/faux-beams03.jpg','https://advice.thisoldhouse.com/archive/index.php/t-12633.html','t 12633.html','faux ceiling beams'),
(3,'http://www.david-carpentry.com/beams/beam1.jpg','http://www.david-carpentry.com/ceilings.html','ceilings.html','faux ceiling beams'),
(4,'http://dorvilhomes.com/wp-content/uploads/2015/01/White-Kitchen-Faux-Ceiling-Beams-How-to-Themes.jpg','http://dorvilhomes.com/beautiful-faux-ceiling-beams-ideas','beautiful faux ceiling beams ideas','faux ceiling beams'),
(5,'http://fortikur.com/wp-content/uploads/2013/10/Awesome-Faux-Ceiling-Beams.jpg','http://fortikur.com/how-to-install-faux-ceiling-beams/awesome-faux-ceiling-beams','awesome faux ceiling beams','faux ceiling beams'),
(6,'http://warrenarts.com/wp-content/uploads/2010/08/Beams.jpg','http://warrenarts.com/?page_id%3D2','?page id%3D2','faux ceiling beams'),
(7,'http://fortikur.com/wp-content/uploads/2013/10/Faux-Ceiling-Beams-with-Lamp.jpg','http://fortikur.com/how-to-install-faux-ceiling-beams/faux-ceiling-beams-with-lamp','faux ceiling beams with lamp','faux ceiling beams'),
(8,'http://www.fauxwoodbeams.com/img_catalog/beams_general/design/raisedgrain/52.jpg','http://www.fauxwoodbeams.com/great-rooms.php','great rooms.php','faux ceiling beams'),
(9,'http://www.fauxwoodbeams.com/blog/wp-content/uploads/2011/10/beams4005.jpg','http://www.fauxwoodbeams.com/blog/tag/artificial-wood','artificial wood','faux ceiling beams'),
(10,'http://realmofdesign.com/wp-content/uploads/2013/06/DSC01538.jpg','http://realmofdesign.com/elevate-your-ceilings-with-faux-wood-beams','elevate your ceilings with faux wood beams','faux ceiling beams'),
(11,'http://www.david-carpentry.com/beams/beam5.jpg','http://www.david-carpentry.com/ceilings.html','ceilings.html','faux ceiling beams'),
(12,'http://www.fauxwoodbeams.com/blog/wp-content/uploads/2010/10/kitchen-woodland-beams.jpg','http://www.fauxwoodbeams.com/blog/kitchens-cook','kitchens cook','faux ceiling beams'),
(13,'http://dorvilhomes.com/wp-content/uploads/2015/01/New-and-Used-Faux-Ceiling-Beams-for-Sale.jpg','http://dorvilhomes.com/beautiful-faux-ceiling-beams-ideas/new-and-used-faux-ceiling-beams-for-sale','new and used faux ceiling beams for sale','faux ceiling beams'),
(14,'http://superiorbuildingsupplies.com/blog/wp-content/uploads/2010/05/Beam-1.jpg','http://superiorbuildingsupplies.com/blog/2010/05/21/mediterranean-faux-ceiling-beams','mediterranean faux ceiling beams','faux ceiling beams'),
(15,'http://www.fauxwoodbeams.com/img_catalog/beams_general/design/raisedgrain/81.jpg','http://www.fauxwoodbeams.com/vaulted-ceilings.php','vaulted ceilings.php','faux ceiling beams'),
(16,'http://media.merchantcircle.com/28045872/Ceiling%252520Beams--After--Faux%252520Wood%252520using%252520paint_full.jpeg','http://www.merchantcircle.com/business/FE.FI.FAUX.FUM--Painting.And.Faux.Finishing.205-915-2629/picture/view/1653314','1653314','faux ceiling beams'),
(17,'http://fortikur.com/wp-content/uploads/2013/10/How-to-Build-Faux-Ceiling-Beams.jpg','http://fortikur.com/tag/lowes-kitchen-design','lowes kitchen design','faux ceiling beams'),
(18,'http://cdn.shopify.com/s/files/1/0238/4667/products/Faux_Beams_1.jpg%253Fv%253D1378444310','http://www.woodworksolutions.net/products/custom-ceilings','custom ceilings','faux ceiling beams'),
(19,'http://cdn.designhomes.pics/design/superiorbuildingsupplies.com/blog/wp-content/uploads/2010/05/Beam-3.jpg','http://designhomes.pics/ceilings-with-wooden-beams/6/mediterranean-faux-ceiling-beams','mediterranean faux ceiling beams','faux ceiling beams'),
(20,'http://buildipedia.com/media/k2/items/cache/366f01a4eda9968fe14aabfaade9ef2b_XL.jpg','http://buildipedia.com/knowledgebase/division-06-wood-plastics-and-composites/06-20-00-finish-carpentry/step-by-step-transforming-a-porch-ceiling','step by step transforming a porch ceiling','faux ceiling beams'),
(21,'http://superiorbuildingsupplies.com/blog/wp-content/uploads/2010/09/Pecky-and-Beam.jpg','http://superiorbuildingsupplies.com/blog/tag/superior-faux-wood-beams','superior faux wood beams','faux ceiling beams'),
(22,'http://1.bp.blogspot.com/-nbvcKX5AWv0/UQndBfQ8jxI/AAAAAAAAGJg/Acussm0qXwo/s1600/big%252Bbeam%252Bon%252Bceiling2.jpg','http://www.remodelandolacasa.com/2013/02/installing-faux-wooden-beams-second-part.html','installing faux wooden beams second part.html','faux ceiling beams'),
(23,'http://www.vnews.com/csp/mediapool/sites/dt.common.streams.StreamServer.cls%253FSTREAMOID%253DhAYQtTSCxsE_vsIm9hqQAc%2524daE2N3K4ZzOUsqbU5sYsHiadrXE7h3E07fo0pfWZ6WCsjLu883Ygn4B49Lvm9bPe2QeMKQdVeZmXF%25249l%25244uCZ8QDXhaHEp3rvzXRJFdy0KqPHLoMevcTLo3h8xh70Y6N_U_CryOsw6FTOdKL_jpQ-%2526CONTENTTYPE%253Dimage/jpeg','http://www.vnews.com/lifetimes/8767701-95/going-faux-adds-to-a-homes-style','going faux adds to a homes style','faux ceiling beams'),
(24,'http://www.fauxwoodbeams.com/blog/wp-content/uploads/2012/02/After3.jpg','http://www.fauxwoodbeams.com/blog/single-ceiling-beam','single ceiling beam','faux ceiling beams'),
(25,'http://superiorbuildingsupplies.com/blog/wp-content/uploads/2010/05/Beam-71.jpg','http://superiorbuildingsupplies.com/blog/2010/05/21/mediterranean-faux-ceiling-beams','mediterranean faux ceiling beams','faux ceiling beams'),
(26,'http://superiorbuildingsupplies.com/blog/wp-content/uploads/2010/10/t17-t-28-t-25.gif','http://superiorbuildingsupplies.com/blog/tag/superior-faux-wood-beams','superior faux wood beams','faux ceiling beams'),
(27,'http://cdn.designhomes.pics/design/mosslounge.com/wp-content/uploads/2013/12/Faux-ceiling-beams-faux-wood-workshop.jpg','http://designhomes.pics/ceilings-with-wooden-beams/4/faux-ceiling-beam-faux-ceiling-beams-faux-wood-workshop','faux ceiling beam faux ceiling beams faux wood workshop','faux ceiling beams'),
(28,'http://owtraditions.com/blog/wp-content/uploads/2013/03/Rustic1.jpg','http://owtraditions.com/blog','blog','faux ceiling beams'),
(29,'http://realmofdesign.com/wp-content/uploads/2013/06/DSC01173.jpg','http://realmofdesign.com/elevate-your-ceilings-with-faux-wood-beams','elevate your ceilings with faux wood beams','faux ceiling beams'),
(30,'http://media.merchantcircle.com/28045872/Ceiling%252520Beams--Before_full.jpeg','http://www.merchantcircle.com/business/FE.FI.FAUX.FUM--Painting.And.Faux.Finishing.205-915-2629/picture/view/1653313','1653313','faux ceiling beams'),
(31,'http://www.fauxwoodbeams.com/img_catalog/beams_general/design/woodland/32.jpg','http://www.fauxwoodbeams.com/kitchen-ideas.php','kitchen ideas.php','faux ceiling beams'),
(32,'http://www.elmwoodreclaimedtimber.com/sites/default/files/styles/hero_image/public/hero-gallery/Reclaimed-Wood-Box-Beams_0.jpg%253Fitok%253DSvAQvIFF','http://www.elmwoodreclaimedtimber.com/products/wood-beams/reclaimed-antique-pine-rustic-faux-wood-beams','reclaimed antique pine rustic faux wood beams','faux ceiling beams'),
(33,'http://www.fauxwoodbeams.com/blog/wp-content/uploads/2015/01/nice-truss.jpg','http://www.fauxwoodbeams.com/blog/tag/ceiling-beams','ceiling beams','faux ceiling beams'),
(34,'http://www.fauxwoodbeams.com/blog/wp-content/uploads/2012/06/After.jpg','http://www.fauxwoodbeams.com/blog/ceiling-beam-simple-elegant','ceiling beam simple elegant','faux ceiling beams'),
